id,main_purpose_id,name,name_en
f8a6bc1a-f25e-4fff-8b37-c6595f9b0635,9276713e-036f-4f49-ba91-6683a76dcbe9,防寒着,""
0cc38f42-efa7-45a5-bbe9-067239376ebe,7431b624-26e2-46c1-a83e-e8a38ff7f62a,ライフジャケット,""
cb1330dc-8390-48a0-96cf-d508aa99ea7d,f78c9d49-9498-4834-982d-6bf49834ff0a,三脚,""
79ce95e2-6254-48e0-9c98-c546c84818ec,3879cb09-2d6b-4911-9a09-9493c71e82cd,グローブ,""
48d5c1f4-af68-4c87-a958-feb2cd7247e4,0b560b0f-ffb4-4461-b20d-2343fee0a902,ウェア上下,""
31c21d22-42ee-43f8-b159-9f21fe2c00b9,affc9228-2e03-4b1f-a09f-714eabe2f731,日焼け止め,""
8337f80f-0f81-40fe-98bc-3a3208454b42,f78c9d49-9498-4834-982d-6bf49834ff0a,時刻表,""
affe6c7a-df11-4a67-b372-aaf612bf57d0,bc7cbd8f-8b31-4009-8c22-fc80d1af76de,長靴,""
6c1cb9c6-9349-468d-9563-1cecfae2a324,54b3d61b-e44b-4bbe-8984-5827934d864a,カメラ（望遠レンズ）,""
2ec5959a-4b5d-4c2a-a05e-71e45599e253,b2a92ab3-46c3-4a3d-a0d0-c50bc620764e,ウェットティッシュ,""
45c8a31b-68f4-4ff0-b86b-aa1044729deb,4361fcae-51ce-45ce-9d30-41f9e9cc2261,日焼け止め,""
d945a751-7454-4eb6-85fa-8cc79f53eba2,9276713e-036f-4f49-ba91-6683a76dcbe9,雨具,""
7d05a7f2-1413-4c1e-b33c-662d7b6ab759,ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77,地図・コンパス,""
1d65536c-ccd7-4516-aa95-80922a82c5f5,7431b624-26e2-46c1-a83e-e8a38ff7f62a,リーシュコード,""
1e1cef66-f3c0-4dc3-806e-56625e698a8c,0b560b0f-ffb4-4461-b20d-2343fee0a902,ゴーグル,""
c40e2601-bccb-4d02-aed5-2062b64fec57,5809422b-2d99-4769-abd8-3b3c08c46ce0,レジャーシート,""
00d52816-ee0c-4a96-ab20-7313001f3fca,a29d45d3-bb14-4ffc-85af-3e555d6bcc04,予備バッテリー,""
c53b736b-6b86-4eab-9887-0ac33b91d815,cb09f05c-16e1-44ec-823b-e577f06694e2,予備バッテリー,""
17c00db7-5607-4839-adc7-f05f9b8f707c,0f03e133-d17e-4fb4-b5f6-3c51ba62f53e,クーラーボックス,""
0f7492b9-ea0c-4605-b37d-a36b4a98a0a1,4476928c-9d29-4d12-a4a3-9035e5b6a9fc,クーラーボックス,""
d8b6f025-9346-4719-9773-0a74ff63bfbd,3879cb09-2d6b-4911-9a09-9493c71e82cd,空気入れ,""
9a47b601-dcec-4fa9-9012-33f58fe5f181,9276713e-036f-4f49-ba91-6683a76dcbe9,地図,""
3c37746a-e9a6-40f3-8dec-dcab279ba2a1,affc9228-2e03-4b1f-a09f-714eabe2f731,ビーチタオル,""
eaec1e65-5060-4e50-8b04-440c0ff7126d,0f03e133-d17e-4fb4-b5f6-3c51ba62f53e,ライフジャケット,""
6ca9fcd5-0a1f-4dc8-8abb-d42f10eb6c6b,a29d45d3-bb14-4ffc-85af-3e555d6bcc04,レンズクリーナー,""
9e4ce766-24e4-44e9-8760-4f6f6375a5e2,3879cb09-2d6b-4911-9a09-9493c71e82cd,パンク修理キット,""
f6e4df97-511b-4a3e-aed5-7aace82dbab1,5809422b-2d99-4769-abd8-3b3c08c46ce0,防寒着,""
db1e7500-8790-4088-8fc7-558a3444d319,bc7cbd8f-8b31-4009-8c22-fc80d1af76de,クーラーボックス,""
432b457b-67b9-4dfc-8cd8-72ac36b24246,f78c9d49-9498-4834-982d-6bf49834ff0a,予備バッテリー,""
5282a557-cf1a-4d9b-aa79-38cb4f7a0bff,4361fcae-51ce-45ce-9d30-41f9e9cc2261,帽子,""
f3c8567b-31e0-4d07-84d8-533c30f33efc,cb09f05c-16e1-44ec-823b-e577f06694e2,防寒着,""
1c45e0f6-d3ed-46d0-a947-e9b81b334b4e,7431b624-26e2-46c1-a83e-e8a38ff7f62a,防水バッグ,""
ba108665-d4ed-4cf2-9ed5-8d69549fb4d2,b2a92ab3-46c3-4a3d-a0d0-c50bc620764e,防寒着,""
dad2225d-3ce2-4121-9e44-877938c923d9,4476928c-9d29-4d12-a4a3-9035e5b6a9fc,エプロン,""
9974ff5c-1abd-41a7-a641-df717141353c,54b3d61b-e44b-4bbe-8984-5827934d864a,迷彩服・帽子,""
74216b57-c74d-4b48-9edd-9c29e0a01000,ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77,行動食,""
df53e599-3a4a-4250-8209-928160effd8d,0b560b0f-ffb4-4461-b20d-2343fee0a902,グローブ,""
